"SurveyID","ID"
1,157
1,435
1,539
1,605
1,92
1,652
1,58
1,85
1,58
1,426
1,835
1,710
1,176
1,426
1,295
1,739
1,800
1,732
1,903
1,518
1,924
1,334
1,369
1,710
1,212
1,426
1,297
1,838
1,176
1,750
1,703
1,88
1,103
1,36
1,157
1,50
1,908
1,735
1,91
1,274
1,539
1,565
1,26
1,919
1,426
1,334
1,219
1,384
1,620
1,684
1,860
1,219
1,17
1,361
1,479
1,287
1,219
1,210
1,222
1,126
1,506
1,58
1,276
1,115
1,295
1,118
1,115
1,970
1,433
1,815
1,426
1,87
1,369
1,863
1,630
1,903
1,829
1,330
1,241
1,400
1,67
1,73
1,164
1,426
1,396
1,460
1,440
1,629
1,901
1,266
1,698
1,839
1,995
1,652
1,218
1,698
1,652
1,222
1,264
1,266
1,410
1,667
1,787
1,211
1,354
1,938
1,652
1,558
1,834
1,877
1,133
1,394
1,504
1,500
1,388
1,297
1,214
1,860
1,796
1,202
1,26
1,113
1,796
1,446
1,895
1,710
1,12
1,329
1,694
1,482
1,710
1,776
1,710
1,506
1,176
1,735
1,518
1,710
1,351
1,779
1,219
1,777
1,109
1,729
1,866
1,446
1,157
1,629
1,663
1,315
1,2
1,729
1,109
1,919
1,487
1,845
1,776
1,625
1,404
1,164
1,330
1,932
1,411
1,383
1,807
1,866
1,274
1,866
1,412
1,533
1,518
1,652
1,411
1,680
1,446
1,5
1,50
1,274
1,594
1,67
1,148
1,266
1,710
1,734
1,389
1,873
1,713
1,283
1,426
1,734
1,247
1,536
1,223
1,246
1,716
1,219
1,518
1,783
1,506
1,902
1,67
1,542
1,85
1,264
1,276
1,846
1,115
1,858
1,776
1,634
1,334
1,652
1,722
1,173
1,710
1,919
1,656
1,710
1,315
1,625
1,974
1,411
1,364
1,371
1,479
1,620
1,369
1,858
1,294
1,663
1,337
1,294
1,109
1,176
1,936
1,134
1,85
1,58
1,99
1,85
1,211
1,845
1,596
1,484
1,844
1,684
1,706
1,435
1,506
1,56
1,796
1,176
1,734
1,58
1,675
1,608
1,33
1,315
1,393
1,596
1,974
1,710
1,247
1,663
1,484
1,552
1,552
1,219
1,631
1,334
1,241
1,760
1,178
1,860
1,652
1,896
1,365
1,435
1,655
1,337
1,664
1,294
1,938
1,189
1,902
1,404
1,176
1,760
1,675
1,353
1,745
1,238
1,710
1,539
1,426
1,435
1,330
1,434
1,973
1,120
1,518
1,779
1,435
1,373
1,844
1,776
1,807
1,87
1,629
1,120
1,294
1,632
1,518
1,118
1,98
1,834
1,225
1,866
1,176
1,652
1,113
1,274
1,709
1,755
1,334
1,542
1,543
1,73
1,26
1,613
1,315
1,652
1,834
1,218
1,932
1,26
1,241
1,330
1,109
1,114
1,722
1,620
1,334
1,225
1,793
1,976
1,584
1,400
1,709
1,302
1,395
1,506
1,629
1,164
1,58
1,608
1,756
1,448
1,299
1,652
1,866
1,4
1,817
1,766
1,222
1,613
1,736
1,937
1,266
1,903
1,330
1,237
1,252
1,516
1,919
1,893
1,369
1,109
1,314
1,803
1,825
1,885
1,322
1,112
1,411
1,552
1,44
1,506
1,221
1,334
1,776
1,813
1,458
1,734
1,938
1,787
1,65
1,620
1,42
1,792
1,722
1,845
1,535
1,729
1,845
1,354
1,805
1,489
1,621
1,109
1,518
1,722
1,33
1,125
1,820
1,274
1,710
1,598
1,903
1,988
1,435
1,58
1,435
1,353
1,435
1,104
1,613
1,393
1,834
1,219
1,58
1,518
1,779
1,854
1,58
1,104
1,483
1,837
1,775
1,484
1,779
1,906
1,625
1,576
1,711
1,850
1,648
1,866
1,17
1,176
1,919
1,386
1,460
1,65
1,651
1,608
1,764
1,722
1,380
1,176
1,334
1,212
1,381
1,928
1,695
1,153
1,393
1,98
1,487
